source,source_id,flagged_fragrance,flagged_parabens,flagged_sulfates,flagged_phthalates,flagged_alcohol,flagged_silicones
sephora,P466656,True,False,False,False,False,True
sephora,P408312,False,False,True,False,True,False
sephora,P474932,False,False,False,False,False,True
sephora,P482664,False,False,False,False,False,False
sephora,P469203,False,False,False,False,False,False
sephora,P503681,False,False,False,False,False,True
sephora,P500840,False,False,False,False,False,True
sephora,P475910,False,False,False,False,False,True
sephora,P469438,False,False,False,False,False,False
sephora,P501450,False,False,True,False,False,False
sephora,P457461,False,False,False,False,False,False
sephora,P453917,True,False,False,False,False,True
sephora,P447358,False,False,False,False,False,True
sephora,P447122,False,False,False,False,False,True
sephora,P447371,False,False,False,False,False,True
sephora,P453269,True,False,False,False,False,True
sephora,P447121,False,False,False,False,False,True
sephora,P484032,False,False,False,False,False,False
sephora,P475911,False,False,False,False,False,False
sephora,P479827,False,False,False,False,False,False
sephora,P447368,False,False,False,False,False,True
sephora,P504131,False,False,False,False,False,False
sephora,P502816,False,False,False,False,False,False
sephora,P504136,False,False,True,False,False,False
sephora,P377750,False,False,False,False,False,True
sephora,P46017,False,False,False,False,False,False
sephora,P385531,False,False,False,False,False,True
sephora,P501265,False,False,False,False,False,False
sephora,P471004,False,False,False,False,False,False
sephora,P378145,False,False,False,False,False,True
sephora,P270539,False,False,True,False,False,True
sephora,P270555,False,False,False,False,False,False
sephora,P401602,False,False,False,False,False,False
sephora,P427430,True,False,False,False,False,True
sephora,P270549,False,False,False,False,False,True
sephora,P422224,True,False,False,False,False,False
sephora,P400625,True,False,False,False,False,False
sephora,P439913,True,False,False,False,False,False
sephora,P270545,False,False,False,False,False,True
sephora,P270548,False,False,False,False,False,False
sephora,P404241,True,False,False,False,False,False
sephora,P454116,True,False,False,False,False,False
sephora,P270551,False,False,False,False,False,False
sephora,P270540,False,False,False,False,False,True
sephora,P480282,False,False,True,False,False,False
sephora,P385586,False,False,False,False,False,True
sephora,P434383,True,False,False,False,False,False
sephora,P382581,False,False,False,False,False,False
sephora,P480281,False,False,True,False,False,False
sephora,P501412,False,False,False,False,False,True
sephora,P420900,False,False,False,False,False,False
sephora,P503555,False,False,False,False,False,True
sephora,P445416,True,False,False,False,False,True
sephora,P465745,False,False,True,False,False,True
sephora,P455195,False,False,True,False,False,True
sephora,P388664,False,False,True,False,False,True
sephora,P432842,True,False,False,False,False,True
sephora,P383334,False,False,False,False,False,True
sephora,P504216,False,False,False,False,False,False
sephora,P403974,False,False,False,False,False,False
sephora,P502815,True,False,False,False,False,False
sephora,P500606,True,False,False,False,False,False
sephora,P503887,False,False,False,False,False,True
sephora,P474024,False,False,False,False,False,False
sephora,P504080,False,False,False,False,False,True
sephora,P174213,True,False,False,False,False,False
sephora,P305132,False,False,False,False,False,False
sephora,P420163,False,False,False,False,False,False
sephora,P228204,False,False,False,False,False,False
sephora,P374159,False,False,False,False,False,False
sephora,P471224,False,False,False,False,False,False
sephora,P473265,False,False,False,False,False,True
sephora,P501569,False,False,False,False,False,True
sephora,P480580,True,False,False,False,False,False
sephora,P479308,False,False,False,False,False,False
sephora,P480579,True,False,True,False,False,False
sephora,P479309,False,False,False,False,False,False
sephora,P504293,True,False,False,False,False,False
sephora,P479835,False,False,False,False,False,True
sephora,P500246,True,False,False,False,False,False
sephora,P503176,False,False,False,False,False,True
sephora,P503922,False,False,False,False,False,True
sephora,P504896,False,False,False,False,False,False
sephora,P434104,False,False,False,False,False,True
sephora,P433526,False,True,False,False,False,True
sephora,P444154,False,False,False,False,False,True
sephora,P433516,False,False,False,False,False,False
sephora,P434002,False,False,False,False,False,True
sephora,P433530,False,False,False,False,False,True
sephora,P448869,True,False,False,False,False,True
sephora,P461147,True,False,False,False,False,False
sephora,P433523,False,True,False,False,False,True
sephora,P434101,False,False,False,False,False,True
sephora,P480286,False,False,False,False,False,True
sephora,P459144,False,False,False,False,False,True
sephora,P433527,False,False,False,False,False,True
sephora,P446609,False,False,False,False,False,False
sephora,P433531,False,False,False,False,False,False
sephora,P468347,True,False,False,False,False,False
sephora,P434100,False,False,False,False,False,False
sephora,P454509,False,False,False,False,False,True
sephora,P449571,False,False,False,False,False,False
sephora,P500285,False,False,False,False,False,True
sephora,P433528,False,False,False,False,False,True
sephora,P500407,True,False,True,False,False,False
sephora,P455321,False,False,False,False,False,True
sephora,P456368,False,False,False,False,False,False
sephora,P434009,False,False,False,False,False,False
sephora,P504020,False,False,False,False,False,False
sephora,P475919,False,False,False,False,False,True
sephora,P503729,False,False,False,False,False,True
sephora,P434526,False,False,False,False,False,False
sephora,P462841,False,False,False,False,False,False
sephora,P454046,False,False,False,False,False,True
sephora,P433864,False,False,False,False,False,False
sephora,P454508,False,False,False,False,False,True
sephora,P454506,False,False,False,False,False,True
sephora,P446610,False,False,True,False,False,False
sephora,P455323,False,False,False,False,False,False
sephora,P461433,False,False,True,False,False,True
sephora,P470203,False,False,False,False,False,False
sephora,P434004,True,False,False,False,False,True
sephora,P462843,False,False,False,False,False,False
sephora,P454505,False,False,False,False,False,False
sephora,P433525,True,True,False,False,False,True
sephora,P502270,False,False,False,False,False,True
sephora,P462845,False,False,False,False,False,True
sephora,P455322,False,False,True,False,False,False
sephora,P434010,False,False,False,False,False,False
sephora,P434012,False,False,False,False,False,False
sephora,P433863,False,False,False,False,False,False
sephora,P454351,False,False,False,False,False,True
sephora,P434527,True,False,False,False,False,True
sephora,P433532,False,False,True,False,False,False
sephora,P471749,False,False,False,False,False,True
sephora,P459260,False,False,False,False,False,False
sephora,P472458,False,False,False,False,False,False
sephora,P462847,False,False,False,False,False,False
sephora,P470208,False,False,False,False,False,False
sephora,P462844,False,False,False,False,False,True
sephora,P433529,False,True,False,False,False,False
sephora,P470204,False,False,False,False,False,False
sephora,P462846,False,False,False,False,False,False
sephora,P460744,False,False,False,False,False,True
sephora,P470206,False,False,False,False,False,False
sephora,P472460,False,False,False,False,False,True
sephora,P502275,False,True,False,False,False,True
sephora,P502248,False,False,False,False,False,False
sephora,P472459,False,False,False,False,False,False
sephora,P503932,False,False,False,False,False,True
sephora,P462849,False,False,True,False,False,False
sephora,P462848,False,False,False,False,False,True
sephora,P462850,False,False,False,False,False,True
sephora,P400560,True,False,False,False,False,True
sephora,P130909,False,False,False,False,False,True
sephora,P94902,False,False,False,False,False,True
sephora,P122751,False,False,True,False,False,False
sephora,P384996,False,False,False,False,False,True
sephora,P393325,False,False,False,False,False,True
sephora,P279113,False,False,False,False,False,False
sephora,P122735,False,False,False,False,False,True
sephora,P234967,False,False,False,False,False,True
sephora,P384505,False,False,False,False,False,True
sephora,P122912,False,False,True,False,False,True
sephora,P206900,False,False,False,False,False,True
sephora,P122748,False,False,False,False,False,True
sephora,P310726,False,False,False,False,False,True
sephora,P279510,False,False,False,False,False,True
sephora,P378639,False,False,False,False,False,False
sephora,P305114,False,False,False,False,False,False
sephora,P393633,False,False,False,False,False,False
sephora,P122736,False,False,False,False,False,False
sephora,P501008,False,False,False,False,False,False
sephora,P387634,False,False,False,False,False,False
sephora,P428662,False,False,True,False,False,False
sephora,P122866,False,False,False,False,False,False
sephora,P406924,False,False,False,False,False,True
sephora,P122765,False,False,False,False,False,True
sephora,P122740,False,False,False,False,False,True
sephora,P393634,False,False,False,False,False,False
sephora,P422881,False,False,False,False,False,True
sephora,P122914,False,False,False,False,False,True
sephora,P468639,False,False,False,False,True,True
sephora,P381918,False,False,False,False,False,True
sephora,P461436,False,False,False,False,False,True
sephora,P122668,False,False,False,False,False,False
sephora,P122694,False,False,False,False,False,True
sephora,P377219,False,False,False,False,False,True
sephora,P421227,False,False,False,False,False,True
sephora,P293010,False,False,False,False,False,True
sephora,P283304,False,False,False,False,False,True
sephora,P411552,False,False,False,False,True,True
sephora,P411531,False,False,False,False,False,False
sephora,P433652,False,False,False,False,False,True
sephora,P457692,False,False,False,False,False,True
sephora,P122807,False,False,False,False,False,False
sephora,P382504,False,False,False,False,False,True
sephora,P122834,False,False,False,False,False,False
sephora,P122739,False,False,True,False,False,False
sephora,P122763,False,False,False,False,False,False
sephora,P374580,False,False,True,False,False,True
sephora,P277401,False,False,False,False,False,False
sephora,P400708,False,False,False,False,False,False
sephora,P381916,False,False,False,False,False,True
sephora,P446874,False,False,False,False,False,True
sephora,P426374,False,False,False,False,False,True
sephora,P122675,False,False,False,False,False,False
sephora,P407483,False,False,False,False,False,False
sephora,P481065,False,False,False,False,False,True
sephora,P481064,False,False,False,False,False,True
sephora,P501526,False,False,False,False,False,True
sephora,P483653,False,False,True,False,False,True
sephora,P481066,False,False,False,False,False,True
sephora,P433827,False,False,False,False,False,True
sephora,P468353,False,False,False,False,False,True
sephora,P484039,False,False,False,False,False,True
sephora,P481968,False,False,False,False,False,False
sephora,P479311,False,False,False,False,False,False
sephora,P481694,True,False,False,False,False,False
sephora,P469461,True,False,False,False,False,True
sephora,P501512,False,False,False,False,False,False
sephora,P482522,False,False,False,False,False,True
sephora,P504051,False,False,False,False,False,True
sephora,P469455,False,False,False,False,False,False
sephora,P473701,False,False,False,False,False,True
sephora,P481696,True,False,False,False,False,False
sephora,P469460,True,False,False,False,False,False
sephora,P469458,False,False,False,False,False,True
sephora,P501014,False,False,False,False,False,True
sephora,P502023,False,False,False,False,False,False
sephora,P469459,False,False,False,False,False,True
sephora,P469456,False,False,False,False,False,True
sephora,P469457,False,False,False,False,False,True
sephora,P504669,False,False,False,False,False,True
sephora,P481695,True,False,False,False,False,False
sephora,P443361,False,False,False,False,False,True
sephora,P236816,False,False,False,False,False,False
sephora,P453814,True,False,False,False,False,False
sephora,P186805,True,False,False,False,False,False
sephora,P432500,True,False,False,False,False,True
sephora,P454762,True,False,False,False,False,True
sephora,P432502,False,False,False,False,False,False
sephora,P432504,False,False,False,False,False,True
sephora,P454348,False,False,False,False,False,False
sephora,P467760,True,False,False,False,False,False
sephora,P482262,True,False,False,False,False,True
sephora,P439941,True,False,False,False,False,True
sephora,P472977,False,False,False,False,False,False
sephora,P456596,True,False,False,False,False,False
sephora,P439940,True,False,False,False,False,True
sephora,P500997,True,False,False,False,False,True
sephora,P396240,False,False,False,False,False,False
sephora,P481969,True,False,False,False,False,False
sephora,P483654,True,False,False,False,False,False
sephora,P377821,False,False,True,False,False,False
sephora,P463032,False,False,False,False,False,True
sephora,P475090,True,False,False,False,False,False
sephora,P238433,False,False,False,False,False,False
sephora,P444597,True,False,True,False,False,True
sephora,P99901,False,False,False,False,False,False
sephora,P450457,True,False,False,False,False,True
sephora,P297404,True,False,False,False,False,False
sephora,P442793,True,False,False,False,False,True
sephora,P416366,True,False,False,False,False,False
sephora,P435806,True,False,False,False,False,True
sephora,P475089,False,False,False,False,False,False
sephora,P429720,False,False,True,False,False,False
sephora,P471544,False,False,False,False,False,False
sephora,P480599,True,False,False,False,False,False
sephora,P99902,False,False,False,False,False,True
sephora,P386816,False,False,False,False,False,True
sephora,P435807,True,False,False,False,False,True
sephora,P475091,True,False,False,False,False,True
sephora,P441312,False,False,False,False,False,False
sephora,P500313,False,False,False,False,False,False
sephora,P504675,True,False,False,False,False,False
sephora,P470214,True,False,False,False,False,False
sephora,P463033,False,False,False,False,False,True
sephora,P500247,False,False,False,False,False,False
sephora,P500408,True,False,False,False,False,True
sephora,P504694,True,False,False,False,False,False
sephora,P467761,True,False,False,False,False,False
sephora,P429430,False,False,False,False,False,False
sephora,P504692,False,False,False,False,False,True
sephora,P469465,True,False,False,False,False,False
sephora,P500623,True,False,False,False,False,False
sephora,P483630,False,False,False,False,False,False
sephora,P139005,False,False,False,False,False,True
sephora,P417002,False,False,False,False,False,True
sephora,P457523,False,False,True,False,False,True
sephora,P459126,False,False,False,False,False,False
sephora,P476849,False,False,False,False,False,False
sephora,P475930,False,False,False,False,False,False
sephora,P387891,False,False,False,False,False,False
sephora,P378284,False,False,True,False,False,True
sephora,P454063,True,False,False,False,False,True
sephora,P379951,False,False,True,False,False,True
sephora,P475536,False,False,False,False,False,True
sephora,P441306,False,False,False,False,False,True
sephora,P427045,False,False,False,False,False,False
sephora,P384114,False,False,True,False,True,True
sephora,P422280,False,False,False,False,False,True
sephora,P379945,False,False,False,True,False,False
sephora,P460732,False,False,False,False,False,True
sephora,P379947,False,False,False,False,False,False
sephora,P482263,False,False,False,False,False,True
sephora,P418861,False,False,False,False,False,True
sephora,P476493,False,False,False,False,False,False
sephora,P476444,False,False,False,False,False,False
sephora,P476556,False,False,False,False,False,False
sephora,P476550,False,False,False,False,False,False
sephora,P476494,False,False,False,False,False,False
sephora,P503002,False,False,False,False,False,False
sephora,P476456,False,False,False,False,False,True
sephora,P502223,False,False,False,False,False,False
sephora,P503003,False,False,False,False,False,False
sephora,P67988453,True,False,False,True,False,False
sephora,P87985432,True,False,True,False,False,True
sephora,P39787544,False,False,False,False,False,True
sephora,P18975403,False,False,False,True,False,True
sephora,P64879845,False,False,False,False,False,True
sephora,P470025,False,False,True,False,False,True
sephora,P85225585,False,False,False,False,False,True
sephora,P19700127,False,False,False,False,False,False
sephora,P88779809,False,False,False,False,False,True
sephora,P73124556,False,False,False,True,False,False
sephora,P473708,True,False,False,False,False,False
sephora,P55978864,False,False,False,False,False,True
sephora,P465757,True,False,False,False,False,False
sephora,P45433019,False,False,False,False,False,True
sephora,P88779810,True,False,False,False,False,True
sephora,P448702,True,False,True,False,False,True
sephora,P39784685,False,False,False,False,False,False
sephora,P04897543,True,False,True,False,False,True
sephora,P67339785,True,False,False,False,False,False
sephora,P31870457,False,False,False,False,False,False
sephora,P472161,False,False,False,False,False,True
sephora,P444149,False,False,False,False,False,False
sephora,P466829,False,False,True,False,False,True
sephora,P500061,False,False,False,False,False,True
sephora,P34908923,False,False,False,False,False,True
sephora,P442531,False,False,False,True,False,True
sephora,P455193,False,False,False,False,False,True
sephora,P17876556,False,False,True,False,False,False
sephora,P448703,True,False,True,False,False,True
sephora,P448878,False,False,False,False,False,False
sephora,P502222,False,False,False,False,False,False
sephora,P501462,True,False,False,True,False,False
sephora,P45432919,False,False,True,False,False,False
sephora,P480303,True,False,False,False,False,True
sephora,P97832786,False,False,False,False,False,True
sephora,P37544587,True,False,False,False,False,False
sephora,P447718,False,False,True,False,False,True
sephora,P447551,True,False,True,False,False,True
sephora,P504872,False,False,False,False,False,True
sephora,P444926,False,False,False,False,False,False
sephora,P461934,False,False,False,False,False,False
sephora,P471236,True,False,False,False,False,False
sephora,P458193,False,False,True,False,False,False
sephora,P455188,True,False,False,False,False,True
sephora,P479634,False,False,False,False,False,True
sephora,P501312,False,False,False,False,False,True
sephora,P456148,False,False,False,False,False,False
sephora,P481357,False,False,False,False,False,False
sephora,P503158,False,False,False,False,False,False
sephora,P501436,False,False,False,True,False,True
sephora,P501262,False,False,False,False,False,False
sephora,P428901,False,False,False,True,False,False
sephora,P293008,False,False,False,False,False,True
sephora,P434551,False,False,True,False,False,True
